Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
ZebraLearn,Children/Education,Surat,Gujarat,100,0.8,100,1.6,1,0,0,0,0,0,100,0,0
ExclusiveLane,Lifestyle/Home,Gurugram,Haryana,50,1,0,0,0,0,0,0,0,0,0,0,0
Medial,Technology/Software,Bangalore,Karnataka,50,1,50,2.5,1,0,0,0,0,0,50,0,0
PanchalDairy,Food and Beverage,Surendranagar,Gujarat,20,10,0,0,0,0,0,0,0,0,0,0,0
MusicPandit,Children/Education,Kochi,Kerala,50,1,0,0,0,0,0,0,0,0,0,0,0
Cograd,Children/Education,Etawah,Uttar Pradesh,100,2,50,6,3,16.666,0,0,16.666,0,16.666,0,0
EatBetterCo,Food and Beverage,Jaipur,Rajasthan,50,0.5,50,0.5,1,50,0,0,0,0,0,0,0
Earthful,Medical/Health,Hyderabad,Telangana,75,1,75,2.5,1,0,0,0,0,0,75,0,0
Trajectory,Vehicles/Electrical Vehicles,Delhi,Delhi,100,2,50,3,1,0,0,0,0,0,50,0,0
KaviThePoetry-ArtProject,Green/CleanTech,Unknown,Unknown,60,1.5,0,0,0,0,0,0,0,0,0,0,0
F2DF,Agriculture,Jind,Haryana,50,1,5,2,1,0,5,0,0,0,0,0,0
SugarStrings.ai,Medical/Health,"Kalady, Vuyyuru","Kerala,Andhra Pradesh",100,2.5,0,0,0,0,0,0,0,0,0,0,0
MomsHome,Children/Education,Jaipur,Rajasthan,75,1,75,2,1,0,0,0,75,0,0,0,0
Catwalk,Food and Beverage,Delhi,Delhi,100,4.16,0,0,0,0,0,0,0,0,0,0,0
Beautywise,Beauty/Fashion,Delhi,Delhi,100,1.5,300,6,1,0,300,0,0,0,0,0,0
Ivory,Medical/Health,Bangalore,Karnataka,50,1.25,50,5,1,50,0,0,0,0,0,0,0
TheHousePartyBySavar,Business Services,Gurugram,Haryana,100,5,50,5,1,0,0,0,0,0,50,0,0
GlowGlossary,Food and Beverage,"Bangalore,Ghaziabad","Karnataka,Uttar Pradesh",60,4,0,0,0,0,0,0,0,0,0,0,0
SinghDentalCare,Medical/Health,Amritsar,Punjab,100,5,0,0,0,0,0,0,0,0,0,0,0
TribalVeda,Food and Beverage,Udaipur,Rajasthan,50,2,50,2.8,1,0,0,0,0,0,50,0,0
Anuvad,Beauty/Fashion,Ahmedabad,Gujarat,50,5,0,0,0,0,0,0,0,0,0,0,0
Fitelo,Fitness/Sports/Outdoors,Mohali,Punjab,150,0.5,150,1,2,75,0,0,75,0,0,0,0
Nanighar,Food and Beverage,Kolkata,West Bengal,100,5,0,0,0,0,0,0,0,0,0,0,0
GoodMonk,Fitness/Sports/Outdoors,Bangalore,Karnataka,100,1.67,50,1,1,0,0,0,50,0,0,0,0
Artbuzz,Business Services,Delhi,Delhi,100,3,0,0,0,0,0,0,0,0,0,0,0
Tulua,Food and Beverage,Mumbai,Maharashtra,50,2,0,0,0,0,0,0,0,0,0,0,0
Taffykids,Children/Education,Mumbai,Maharashtra,75,1,75,1.5,2,0,0,0,37.5,0,37.5,0,0
WhaleWearables,Lifestyle/Home,Belagavi,Karnataka,30,3,30,3,2,0,15,0,15,0,0,0,0
Zingavita,Medical/Health,Chandigarh,Punjab,100,1.25,0,0,0,0,0,0,0,0,0,0,0
DhaagaLife,Beauty/Fashion,Mumbai,Maharashtra,75,5,0,0,0,0,0,0,0,0,0,0,0
Tileskraft,Lifestyle/Home,Borbi,Gujarat,60,12,0,0,0,0,0,0,0,0,0,0,0
Krishnsakhi,Lifestyle/Home,Mumbai,Maharashtra,37.5,2.5,0,0,0,0,0,0,0,0,0,0,0
BoreCharger,Agriculture,Pune,Maharashtra,75,1.5,0,0,0,0,0,0,0,0,0,0,0
SuperBolter,Lifestyle/Home,Bangalore,Karnataka,75,0.5,0,0,0,0,0,0,0,0,0,0,0
HiveSchool,Children/Education,"Delhi,Indore","Delhi,Madhya Pradesh",60,5,0,0,0,0,0,0,0,0,0,0,0
Tintbox,Lifestyle/Home,Ahmedabad,Gujarat,70,5,0,0,0,0,0,0,0,0,0,0,0
EasyRugs,Lifestyle/Home,Delhi,Delhi,35,5,35,5,2,0,17.5,0,17.5,0,0,0,0
StylesTry,Beauty/Fashion,Delhi,Delhi,50,1,0,0,0,0,0,0,0,0,0,0,0
Quitci,Lifestyle/Home,Kolar,Karnataka,50,2,0,0,0,0,0,0,0,0,0,0,0
FitFeast,Food and Beverage,Delhi,Delhi,100,6.5,100,18,2,0,0,50,0,0,0,0,50
TheBearHouse,Beauty/Fashion,Bangalore,Karnataka,300,1,100,1,1,100,0,0,0,0,0,0,0
UrbanAnimal,Animal/Pets,Bangalore,Karnataka,45,5,0,0,0,0,0,0,0,0,0,0,0
Nooky,Lifestyle/Home,Delhi,Delhi,60,1,0,0,0,0,0,0,0,0,0,0,0
Subculture,Beauty/Fashion,Ara,Bihar,50,7,0,0,0,0,0,0,0,0,0,0,0
Woodsmen,Liquor/Alcohol,Delhi,Delhi,150,0.5,0,0,0,0,0,0,0,0,0,0,0
BhavisyaPlast,Green/CleanTech,Kolkata,West Bengal,50,1.5,200,10,4,50,50,50,0,0,0,0,50
Ecoil,Green/CleanTech,Jaipur,Rajasthan,100,1.25,50,1,2,0,0,0,0,0,25,0,25
Rescript,Green/CleanTech,Bangalore,Karnataka,100,3.33,0,0,0,0,0,0,0,0,0,0,0
TickleYourArt,Others,Pune,Maharashtra,21.3,7,21.3,7,2,0,10.65,10.65,0,0,0,0,0
Symbionic,Medical/Health,Chennai,Tamil Nadu,80,2,40,1,1,40,0,0,0,0,0,0,0
XLCinema,Entertainment,Delhi,Delhi,150,1.5,0,0,0,0,0,0,0,0,0,0,0
