Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
VikrantBikes,Vehicles/Electrical Vehicles,Satara,Maharashtra,30,5,0,0,0,0,0,0,0,0,0,0,0
TheShellHair,Beauty/Fashion,Ajmer,Rajasthan,30,3,30,3,1,0,30,0,0,0,0,0,0
Rize,Food and Beverage,Gurgaon,Haryana,45,6,0,0,0,0,0,0,0,0,0,0,0
MEPACK,Business Services,Delhi,Delhi,7,10,7,10,2,0,0,0,0,0,3.5,3.5,0
BaccaBucci,Beauty/Fashion,Delhi,Delhi,250,1,0,0,0,0,0,0,0,0,0,0,0
Vobble,Children/Education,Bangalore,Karnataka,25,1.5,25,2,1,25,0,0,0,0,0,0,0
BeUNatural,Beauty/Fashion,Delhi,Delhi,60,2.5,0,0,0,0,0,0,0,0,0,0,0
Erotissch,Beauty/Fashion,Agra,Uttar Pradesh,75,3,0,0,0,0,0,0,0,0,0,0,0
Niblerzz,Food and Beverage,Mumbai,Maharashtra,50,3,10,5,1,0,10,0,0,0,0,0,0
Sorich,Food and Beverage,Delhi,Delhi,90,2.5,0,0,0,0,0,0,0,0,0,0,0
LittleBox,Beauty/Fashion,Guwahati,Assam,75,1,75,2.5,5,15,15,15,15,0,0,15,0
CremeCastle,Food and Beverage,Noida,Uttar Pradesh,60,1.5,60,2.5,1,0,0,0,0,0,0,60,0
Namakwali,Food and Beverage,Unknown,Uttarakhand,50,5,10,5,1,0,0,0,0,0,0,10,0
KariboCosmetics,Beauty/Fashion,Mumbai,Maharashtra,80,5,0,0,0,0,0,0,0,0,0,0,0
Deeva,Beauty/Fashion,Bangana,Himachal Pradesh,200,4,75,6,3,0,25,0,0,0,25,0,25
DesignTemplate,Technology/Software,Bid,Maharashtra,100,2.5,100,10,1,0,100,0,0,0,0,0,0
Sama,Business Services,Delhi,"Delhi,Bihar,Kerala",100,1,100,1.5,3,33.33,33.33,0,0,0,33.33,0,0
GoldenFeathers,Manufacturing,Jaipur,Rajasthan,500,5,0,0,0,0,0,0,0,0,0,0,0
Myracle.io,Technology/Software,Mumbai,Maharashtra,120,3,0,0,0,0,0,0,0,0,0,0,0
Cup-ji,Food and Beverage,Mumbai,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
AToddlerThing,Beauty/Fashion,Coimbatore,Tamil Nadu,80,2,40,2,1,0,0,0,0,0,0,40,0
FlexifyMe,Medical/Health,Pune,Maharashtra,100,2,50,1.32,1,50,0,0,0,0,0,0,0
Dharaksha,Green/CleanTech,Faridabad,Haryana,0.0125,1,0.0125,1,5,0,0.0025,0.0025,0.0025,0.0025,0.0025,0,0
iDreamCareer,Technology/Software,"Delhi,Bangalore","Delhi,Karnataka",110,1.28,60,1,2,0,30,0,0,0,30,0,0
RockPaperRum,Liquor/Alcohol,Mumbai,Maharashtra,50,2,20,1,1,0,0,0,20,0,0,0,0
Fit&Flex,Food and Beverage,Ahmedabad,Gujarat,100,3,0,0,0,0,0,0,0,0,0,0,0
Sukham,Medical/Health,Delhi,Delhi,100,3.33,0,0,0,0,0,0,0,0,0,0,0
Smotect,Medical/Health,Mumbai,Maharashtra,100,1,50,5,1,0,0,50,0,0,0,0,0
Katidhan,Manufacturing,Bangalore,Karnataka,150,2.5,75,5,1,0,0,0,0,0,75,0,0
NEMAAI,Technology/Software,Delhi,Delhi,80,5,40,8,2,20,0,0,20,0,0,0,0
MaplePods,Business Services,Delhi,Delhi,150,5,0,0,0,0,0,0,0,0,0,0,0
SpecOps,Others,Unknown,Unknown,80,2,40,2,2,0,20,0,0,0,0,20,0
KaabilKids,Technology/Software,Noida,Uttar Pradesh,70,2,50,2.5,2,25,25,0,0,0,0,0,0
OddGiraffe,Lifestyle/Home,Mumbai,Maharashtra,75,7.5,0,0,0,0,0,0,0,0,0,0,0
Nemocare,Medical/Health,"Hyderabad,Bangalore","Telangana,Karnataka",100,2.5,20,0.67,1,0,20,0,0,0,0,0,0
WhySoBlue,Beauty/Fashion,Mumbai,Maharashtra,75,3,40,3,1,0,0,0,0,0,40,0,0
CoratiaTechnologies,Technology/Software,Rourkela,Odisha,80,1,80,1,1,0,0,0,0,0,80,0,0
Coolant,Manufacturing,Noida,Uttar Pradesh,90,1,0,0,0,0,0,0,0,0,0,0,0
Xmachines,Technology/Software,Hyderabad,Telangana,72,4,72,4,2,36,0,0,0,0,36,0,0
Luvottica,Lifestyle/Home,Abohar,Punjab,200,10,0,0,0,0,0,0,0,0,0,0,0
FarmDidi,Food and Beverage,"Amravati,Lucknow,Bahadurgarh","Maharashtra,Uttar Pradesh,Haryana",50,2,100,10,2,0,0,0,50,50,0,0,0
Popcorn,Food and Beverage,Delhi,Delhi,75,7.5,75,15,1,75,0,0,0,0,0,0,0
Prorata,Business Services,Bangalore,Karnataka,100,2,50,10,2,0,0,25,0,25,0,0,0
Indigifts,Business Services,Jaipur,Rajasthan,50,2,50,4,2,0,0,0,25,0,25,0,0
AlienVersions,Vehicles/Electrical Vehicles,"Itanagar,Dehradun","Arunachal Pradesh,Uttarakhand",50,5,0,0,0,0,0,0,0,0,0,0,0
Rocca,Food and Beverage,Nagpur,Maharashtra,60,4,30,2.5,1,0,0,0,0,0,30,0,0
KikoLive,Technology/Software,Mumbai,Maharashtra,100,1,0,0,0,0,0,0,0,0,0,0,0
Melooha,Others,Bangalore,Karnataka,80,2,0,0,0,0,0,0,0,0,0,0,0
FUTRStudios,Technology/Software,"Chandigarh,Ahmedabad","Punjab,Gujarat",100,2.5,0,0,0,0,0,0,0,0,0,0,0
Allter,Lifestyle/Home,Delhi,Delhi,100,2.5,100,4,3,0,33.33,33.33,0,0,33.33,0,0
FirstBudOrganics,Food and Beverage,Deoghar,Jharkhand,50,7,50,10,1,0,0,0,0,0,50,0,0
Shararat,Lifestyle/Home,Noida,Uttar Pradesh,60,7,0,0,0,0,0,0,0,0,0,0,0
Competishun,Children/Education,Jaipur,Rajasthan,200,1,0,0,0,0,0,0,0,0,0,0,0
BombayClosetCleanse,Beauty/Fashion,Mumbai,Maharashtra,100,2.5,0,0,0,0,0,0,0,0,0,0,0
KioskKaffee,Food and Beverage,Pune,Maharashtra,90,3,0,0,0,0,0,0,0,0,0,0,0
NeonAttack,Lifestyle/Home,Hyderabad,Telangana,75,3,50,2,2,25,25,0,0,0,0,0,0
PTal,Lifestyle/Home,Amritsar,Punjab,50,1,100,3.2,5,20,20,20,20,0,0,20,0
RoadPilot,Technology/Software,Lucknow,Uttar Pradesh,80,5,0,0,0,0,0,0,0,0,0,0,0
SmartMop,Lifestyle/Home,Mysuru,Karnataka,15,1,0,0,0,0,0,0,0,0,0,0,0
Lea,Beauty/Fashion,Noida,Uttar Pradesh,100,2,100,4,4,25,0,25,25,0,0,0,25
$KrishnaRama,Entertainment,Hyderabad,Telangana,200,30,0,0,0,0,0,0,0,0,0,0,0
